ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
17,111,Y,98000,63.69,25.1230493,121.5320811,住,1,1538.703093107238,2,"(303655.14680234384, 2779512.615673692)",238.9,True,False,False,True,False,False,False,False
18,114,Y,26000,21.88,25.0867185,121.5627108,住,8,1188.2998171846436,3,"(306760.6821980845, 2775500.897757907)",180.42857142857142,True,False,False,True,False,False,False,False
19,114,Y,75000,74.05,25.0602247,121.5838595,住,5,1012.8291694800812,2,"(308906.6734212942, 2772575.3197237696)",235.0,True,False,False,True,False,False,False,False
20,220,N,60000,67.71,25.011760100000004,121.4653737,住,7,886.1320336730174,3,"(296970.6810006277, 2767160.7878499916)",284.28837209302327,False,False,False,True,True,False,False,False
21,100,Y,80000,91.78,25.0339771,121.5284899,住,8,871.6495968620615,3,"(303331.5772054458, 2769645.0195769332)",246.66315789473686,True,True,False,True,True,True,True,True
23,114,N,42000,44.7,25.0567155,121.5839567,住,10,939.5973154362416,2,"(308918.15830992727, 2772186.660624906)",99.125,False,False,False,True,False,False,False,False
24,114,Y,70000,84.51,25.069083399999997,121.5892012,住,4,828.3043426813394,2,"(309441.34473635093, 2773558.9043674828)",182.77777777777777,True,False,False,True,False,False,False,False
25,100,N,25000,14.48,25.026135,121.5219111,住,2,1726.5193370165744,3,"(302671.02566294716, 2768773.8123498484)",179.0791366906475,False,True,False,True,True,True,True,True
26,100,Y,35000,29.76,25.038217899999996,121.52901809999999,住,2,1176.0752688172042,3,"(303383.0450383795, 2770114.9616377545)",405.0,True,True,False,True,True,True,True,True
27,242,N,15000,17.22,25.0305909,121.41360630000001,住,6,871.0801393728224,2,"(291739.30938322394, 2769229.616649006)",65.5,False,False,False,True,False,False,False,False
28,104,Y,35000,43.81,25.0574947,121.54059609999999,住,7,798.9043597352202,3,"(304542.8698282582, 2772254.785646265)",234.38709677419354,True,True,False,True,False,True,True,True
29,231,Y,35000,61.4,24.984639,121.51610659999999,住,1,570.0325732899023,1,"(302102.7293056842, 2764175.271486345)",221.125,True,False,False,True,False,False,False,False
31,104,Y,25000,31.67,25.0464628,121.5391355,住,3,789.3905904641617,3,"(304400.37028952205, 2771032.240845998)",382.03921568627453,True,True,False,True,True,True,True,True
32,106,Y,28000,30.41,25.0360099,121.54600490000001,住,2,920.7497533706018,3,"(305098.19691110373, 2769877.197288099)",372.144578313253,True,True,False,True,True,True,True,True
33,106,N,50000,32.99,25.039025100000003,121.5437945,住,2,1515.610791148833,3,"(304873.79615767667, 2770210.279940624)",382.6292134831461,False,True,False,True,True,True,True,True
34,103,N,30000,26.0,25.0686226,121.51439450000001,住,8,1153.8461538461538,3,"(301894.55229580635, 2773477.0661211396)",166.3235294117647,False,True,False,True,False,False,True,True
35,103,Y,50000,25.19,25.0487056,121.51741940000001,住,13,1984.9146486701072,3,"(302208.162292672, 2771272.1119798576)",229.85202863961814,True,True,False,True,True,True,True,True
36,106,N,25000,21.53,25.030963600000003,121.54799059999999,住,6,1161.1704598235021,3,"(305300.8431194562, 2769319.0505330455)",249.32075471698113,False,True,False,True,True,True,True,True
37,106,N,45000,35.16,25.0417642,121.53821629999999,住,6,1279.8634812286693,3,"(304309.68811475823, 2770511.428302749)",252.36363636363637,False,True,False,True,True,True,True,True
